Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2023 00:00;01.01.2023 01:00;8.814,25;-1.402,25;553,50
01.01.2023 01:00;01.01.2023 02:00;8.809,50;-1.714,00;489,75
01.01.2023 02:00;01.01.2023 03:00;8.697,75;-1.933,75;15,75
01.01.2023 03:00;01.01.2023 04:00;8.105,00;-1.072,75;13,00
01.01.2023 04:00;01.01.2023 05:00;8.172,25;-671,00;207,00
01.01.2023 05:00;01.01.2023 06:00;8.132,25;-1.163,00;839,25
01.01.2023 06:00;01.01.2023 07:00;8.061,25;-987,00;837,00
01.01.2023 07:00;01.01.2023 08:00;8.367,25;-675,25;216,25
01.01.2023 08:00;01.01.2023 09:00;8.501,25;-261,50;21,00
01.01.2023 09:00;01.01.2023 10:00;8.955,50;-78,50;67,00
01.01.2023 10:00;01.01.2023 11:00;9.348,25;211,75;387,00
01.01.2023 11:00;01.01.2023 12:00;9.980,75;213,25;406,50
01.01.2023 12:00;01.01.2023 13:00;9.933,75;655,25;494,50
01.01.2023 13:00;01.01.2023 14:00;9.750,25;1.198,25;508,25
01.01.2023 14:00;01.01.2023 15:00;10.117,25;1.017,75;436,50
01.01.2023 15:00;01.01.2023 16:00;10.286,25;814,25;328,00
01.01.2023 16:00;01.01.2023 17:00;10.782,75;2.175,50;1,75
01.01.2023 17:00;01.01.2023 18:00;11.319,50;3.526,75;2,00
01.01.2023 18:00;01.01.2023 19:00;11.155,75;4.182,75;0,00
01.01.2023 19:00;01.01.2023 20:00;10.771,00;4.262,75;4,25
01.01.2023 20:00;01.01.2023 21:00;9.871,25;3.933,50;261,25
01.01.2023 21:00;01.01.2023 22:00;9.427,75;4.068,50;139,50
01.01.2023 22:00;01.01.2023 23:00;9.190,00;4.024,25;123,00
01.01.2023 23:00;02.01.2023 00:00;8.515,00;3.501,50;439,25
02.01.2023 00:00;02.01.2023 01:00;7.716,50;2.542,50;753,25
02.01.2023 01:00;02.01.2023 02:00;7.557,00;1.806,25;1.097,00
02.01.2023 02:00;02.01.2023 03:00;7.766,25;733,75;1.265,50
02.01.2023 03:00;02.01.2023 04:00;7.964,50;-277,75;1.474,00
02.01.2023 04:00;02.01.2023 05:00;8.475,25;-765,50;1.531,25
02.01.2023 05:00;02.01.2023 06:00;9.181,50;-369,00;1.211,50
02.01.2023 06:00;02.01.2023 07:00;10.557,00;371,50;357,00
02.01.2023 07:00;02.01.2023 08:00;11.831,00;1.079,25;46,25
02.01.2023 08:00;02.01.2023 09:00;12.931,75;1.688,50;195,50
02.01.2023 09:00;02.01.2023 10:00;13.342,75;1.893,00;349,75
02.01.2023 10:00;02.01.2023 11:00;13.501,00;1.863,00;261,75
02.01.2023 11:00;02.01.2023 12:00;13.806,75;1.743,50;6,00
02.01.2023 12:00;02.01.2023 13:00;13.820,25;833,75;127,50
02.01.2023 13:00;02.01.2023 14:00;13.615,50;121,25;206,25
02.01.2023 14:00;02.01.2023 15:00;13.520,50;262,50;119,50
02.01.2023 15:00;02.01.2023 16:00;13.580,25;970,75;7,50
02.01.2023 16:00;02.01.2023 17:00;13.875,75;2.524,75;2,00
02.01.2023 17:00;02.01.2023 18:00;14.050,50;4.395,75;0,25
02.01.2023 18:00;02.01.2023 19:00;13.726,50;5.768,00;0,00
02.01.2023 19:00;02.01.2023 20:00;13.316,00;6.160,25;0,00
02.01.2023 20:00;02.01.2023 21:00;12.570,00;5.747,75;0,75
02.01.2023 21:00;02.01.2023 22:00;11.943,75;4.790,00;123,25
02.01.2023 22:00;02.01.2023 23:00;11.298,75;3.535,25;67,00
02.01.2023 23:00;03.01.2023 00:00;10.679,75;2.509,00;361,25
03.01.2023 00:00;03.01.2023 01:00;10.377,50;1.884,00;1.109,25
03.01.2023 01:00;03.01.2023 02:00;10.079,25;1.759,75;1.487,75
03.01.2023 02:00;03.01.2023 03:00;9.955,75;2.141,25;1.622,00
03.01.2023 03:00;03.01.2023 04:00;10.075,75;2.787,50;1.493,00
03.01.2023 04:00;03.01.2023 05:00;10.345,50;3.672,75;1.372,50
03.01.2023 05:00;03.01.2023 06:00;10.801,00;4.462,75;496,50
03.01.2023 06:00;03.01.2023 07:00;11.868,75;5.939,00;6,75
03.01.2023 07:00;03.01.2023 08:00;12.796,50;7.054,75;0,50
03.01.2023 08:00;03.01.2023 09:00;13.164,25;7.541,50;0,00
03.01.2023 09:00;03.01.2023 10:00;13.227,25;7.128,75;0,00
03.01.2023 10:00;03.01.2023 11:00;13.197,00;6.783,25;0,00
03.01.2023 11:00;03.01.2023 12:00;13.359,50;6.431,00;1,00
03.01.2023 12:00;03.01.2023 13:00;13.302,00;6.290,00;0,25
03.01.2023 13:00;03.01.2023 14:00;13.043,25;7.055,00;4,50
03.01.2023 14:00;03.01.2023 15:00;12.813,75;8.504,00;3,25
03.01.2023 15:00;03.01.2023 16:00;12.611,75;9.887,50;0,00
03.01.2023 16:00;03.01.2023 17:00;12.872,75;10.323,75;0,00
03.01.2023 17:00;03.01.2023 18:00;13.313,75;10.343,00;0,00
03.01.2023 18:00;03.01.2023 19:00;13.281,25;9.822,50;0,00
03.01.2023 19:00;03.01.2023 20:00;13.024,25;8.862,75;2,25
03.01.2023 20:00;03.01.2023 21:00;12.232,00;6.886,00;123,75
03.01.2023 21:00;03.01.2023 22:00;11.415,50;5.328,75;211,50
03.01.2023 22:00;03.01.2023 23:00;10.901,75;4.476,00;137,25
03.01.2023 23:00;04.01.2023 00:00;10.250,50;3.314,50;71,00
04.01.2023 00:00;04.01.2023 01:00;9.977,75;2.664,75;1.448,50
04.01.2023 01:00;04.01.2023 02:00;9.797,75;1.607,00;1.871,75
04.01.2023 02:00;04.01.2023 03:00;9.974,00;1.312,50;1.866,25
04.01.2023 03:00;04.01.2023 04:00;10.379,75;1.649,50;1.896,25
04.01.2023 04:00;04.01.2023 05:00;10.915,50;1.637,00;1.888,75
04.01.2023 05:00;04.01.2023 06:00;11.723,25;701,75;1.880,50
04.01.2023 06:00;04.01.2023 07:00;13.204,50;103,25;1.831,75
04.01.2023 07:00;04.01.2023 08:00;14.191,75;-69,75;462,75
04.01.2023 08:00;04.01.2023 09:00;14.708,00;-16,25;42,50
04.01.2023 09:00;04.01.2023 10:00;14.677,25;-792,50;6,00
04.01.2023 10:00;04.01.2023 11:00;14.877,50;-1.008,25;5,50
04.01.2023 11:00;04.01.2023 12:00;15.136,00;-787,25;0,50
04.01.2023 12:00;04.01.2023 13:00;15.194,25;-942,50;0,00
04.01.2023 13:00;04.01.2023 14:00;15.049,50;-1.223,00;1,00
04.01.2023 14:00;04.01.2023 15:00;15.077,75;-1.254,00;42,00
04.01.2023 15:00;04.01.2023 16:00;14.909,50;-1.210,50;81,00
04.01.2023 16:00;04.01.2023 17:00;14.764,50;-703,75;1,75
04.01.2023 17:00;04.01.2023 18:00;15.262,25;-533,50;1,75
04.01.2023 18:00;04.01.2023 19:00;15.246,50;-411,25;0,00
04.01.2023 19:00;04.01.2023 20:00;14.903,25;-567,75;1,25
04.01.2023 20:00;04.01.2023 21:00;14.115,75;-1.405,00;411,50
04.01.2023 21:00;04.01.2023 22:00;13.276,00;-1.996,00;1.556,75
04.01.2023 22:00;04.01.2023 23:00;12.651,00;-2.516,25;1.732,50
04.01.2023 23:00;05.01.2023 00:00;11.968,75;-2.745,00;1.742,75
05.01.2023 00:00;05.01.2023 01:00;10.447,50;-2.957,50;1.854,50
05.01.2023 01:00;05.01.2023 02:00;9.995,50;-3.311,75;1.843,75
05.01.2023 02:00;05.01.2023 03:00;10.529,25;-2.977,75;1.835,25
05.01.2023 03:00;05.01.2023 04:00;10.516,00;-3.133,75;1.860,50
05.01.2023 04:00;05.01.2023 05:00;10.947,00;-3.108,75;1.852,25
05.01.2023 05:00;05.01.2023 06:00;11.422,00;-3.055,75;1.706,00
