GENESIS-Tabelle: 43531-01-02-4-B
Energieverbrauch - Jahressumme - regionale Ebenen;;;;;;;;;;
Jahreserhebung ü. die Energieverwendung der Betriebe im Verarbeitendem Gewerbe;;;;;;;;;;
;;;Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.);Energieverbrauch (einschl. nichtenergetischem V.)
;;;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger;Energieträger
;;;insgesamt;Kohle;Heizöl;Erdgas;Erneuerbare Energien;Strom;Wärme;Sonstige Energieträger
;;;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ;Tsd. MJ
2022;01;Schleswig-Holstein;79542101;1577146;1626467;39567696;2979556;13486851;.;.
2022;02;Hamburg;55284372;.;471282;17823836;28619;15429011;.;18279049
2022;03;Niedersachsen;365192130;.;6472069;127120750;7829653;78513836;8828456;.
2022;04;Bremen;77456593;.;227628;10755475;.;7691590;832143;.
2022;05;Nordrhein-Westfalen;1150878649;262047375;27321899;227871815;21845486;203383702;60163819;348244553
2022;06;Hessen;118865459;5073870;1819564;47193100;5798772;36118786;18353991;4507376
2022;07;Rheinland-Pfalz;262187175;3420390;1961390;121527852;5389539;48473925;7102969;74311110
2022;08;Baden-Württemberg;264742168;8032884;8530667;71711598;24735139;90582856;14434857;46714167
2022;09;Bayern;391662312;14160737;10121196;131331742;26100821;119031331;14971576;75944910
2022;10;Saarland;122559461;.;245146;13105544;628630;13530537;845955;.
2022;11;Berlin;10793230;.;.;4263706;.;4966212;869179;24699
2022;12;Brandenburg;181603822;29529257;.;26442508;19720167;29969660;14641269;.
2022;13;Mecklenburg-Vorpommern;23295105;809479;443380;7916333;4935436;6202529;2292433;695515
2022;14;Sachsen;154349085;2914444;1677798;36451307;6145117;37777684;5527753;63854981
2022;15;Sachsen-Anhalt;239126374;22400028;1942950;83331858;19369068;36901829;22678748;52501893
2022;16;Thüringen;64188651;2767770;1021364;20425276;13154067;20079948;3026138;3714087
2021;01;Schleswig-Holstein;81508034;1680043;.;44252449;.;13908208;1601661;.
2021;02;Hamburg;66364881;.;452849;24810804;.;18608044;2611475;18985720
2021;03;Niedersachsen;394281797;.;2827345;139969675;7042067;86761309;11148106;.
2021;04;Bremen;85673756;.;156397;12346778;.;7841164;920854;.
2021;05;Nordrhein-Westfalen;1314245208;325994413;22771290;286331770;24418868;222989718;62836469;368902679
2021;06;Hessen;125477904;4755446;1458819;52024985;5319247;36848155;20172122;4899132
2021;07;Rheinland-Pfalz;314223436;3183703;1634345;164795632;5259841;52017644;7762314;79569958
2021;08;Baden-Württemberg;282757526;9192863;7255559;87147609;26743714;92295590;14950263;45171928
2021;09;Bayern;406488553;15189168;6400500;149212040;.;123303312;17513547;.
2021;10;Saarland;131106926;.;256050;14372526;691969;14182743;913757;.
2021;11;Berlin;11429818;.;.;4555085;.;5296791;967861;24783
2021;12;Brandenburg;186114787;27990806;903682;32853381;21051819;30652071;14383718;58279309
2021;13;Mecklenburg-Vorpommern;23472818;657511;370292;8677750;4591396;6828837;2181533;165499
2021;14;Sachsen;176306684;3159644;1300765;43989415;5763678;38631116;5921828;77540238
2021;15;Sachsen-Anhalt;257753609;26187176;.;105706483;18483777;38496615;23611469;.
2021;16;Thüringen;61244539;2803473;592276;22267712;8250503;20407522;3282207;3640847
2020;01;Schleswig-Holstein;84646645;1807445;.;48197680;.;13831644;1576498;.
2020;02;Hamburg;68928812;.;.;25084342;22948;18844978;2582629;.
2020;03;Niedersachsen;375779603;.;2699882;134338664;7191553;82896773;11211180;.
2020;04;Bremen;78065512;.;151062;11031907;.;7328715;856333;.
2020;05;Nordrhein-Westfalen;1263837775;308002023;31856188;293049897;22217867;218995031;63204122;326512648
2020;06;Hessen;118971241;4431939;1870440;49665043;5199036;35284492;17747266;4773024
2020;07;Rheinland-Pfalz;303648336;3092178;1549076;159023942;4985404;50701266;6874801;77421668
2020;08;Baden-Württemberg;270374428;8583706;6723926;82055115;24073261;89171716;13318087;46448617
2020;09;Bayern;374945953;13662566;6700175;143194848;.;117112165;15917362;.
2020;10;Saarland;105979711;52760706;265007;13586955;562395;12534786;871845;25398017
2020;11;Berlin;10934375;.;.;4190346;.;5136404;959655;22014
2020;12;Brandenburg;185303997;32569933;1149340;32418821;18971007;29306495;11789851;59098549
2020;13;Mecklenburg-Vorpommern;22739681;626363;382352;8594401;4412072;6555613;2095585;73294
2020;14;Sachsen;158905793;3243021;1328868;42234276;5760575;36921406;5583299;63834348
2020;15;Sachsen-Anhalt;261810558;26131010;.;100925175;20848846;37912729;22900443;.
2020;16;Thüringen;62236970;2604355;611183;21117101;11270771;19650338;3163889;3819333
2019;01;Schleswig-Holstein;84793250;2073671;.;48346465;2945832;13918689;1590066;.
2019;02;Hamburg;69005463;.;.;25475210;25329;18213155;2598678;.
2019;03;Niedersachsen;395684533;.;2602261;136279264;7448512;87363508;11738800;.
2019;04;Bremen;87970728;.;160586;12465670;.;8158313;958927;.
2019;05;Nordrhein-Westfalen;1258184093;264760221;24851203;285097189;21783305;228604794;67331153;365756228
