Datum von,Gesamt (Netzlast) [MWh] Berechnete Auflösungen_50Hertz,Gesamt (Netzlast) [MWh] Berechnete Auflösungen_TransNetBW,Differenz
2017-01-01,232526.0,134763.5,97762.5
2017-01-02,291297.25,177571.5,113725.75
2017-01-03,316419.75,184175.5,132244.25
2017-01-04,319362.75,191351.25,128011.5
2017-01-05,320546.0,186611.25,133934.75
2017-01-06,327926.0,159993.5,167932.5
2017-01-07,297567.0,165913.75,131653.25
2017-01-08,278348.0,155904.25,122443.75
2017-01-09,327081.25,205811.75,121269.5
2017-01-10,334383.25,212699.0,121684.25
2017-01-11,331043.75,212094.0,118949.75
2017-01-12,323013.25,210770.25,112243.0
2017-01-13,318587.75,207121.25,111466.5
2017-01-14,283999.0,169744.5,114254.5
2017-01-15,267787.25,156874.25,110913.0
2017-01-16,317190.25,214552.25,102638.0
2017-01-17,323661.0,221218.0,102443.0
2017-01-18,332482.25,220975.75,111506.5
2017-01-19,338015.75,220305.5,117710.25
2017-01-20,333137.5,217845.5,115292.0
2017-01-21,291928.5,182940.0,108988.5
2017-01-22,278763.25,167501.75,111261.5
2017-01-23,333590.0,224618.25,108971.75
2017-01-24,337230.5,229332.75,107897.75
2017-01-25,333056.5,229010.75,104045.75
2017-01-26,331891.25,220557.75,111333.5
2017-01-27,331442.75,213321.25,118121.5
2017-01-28,287209.5,174722.75,112486.75
2017-01-29,268672.75,156096.5,112576.25
2017-01-30,315596.25,211128.75,104467.5
2017-01-31,328905.25,210911.5,117993.75
2017-02-01,332532.5,207392.75,125139.75
2017-02-02,332844.75,202916.5,129928.25
2017-02-03,323455.5,200545.25,122910.25
2017-02-04,275230.0,164364.75,110865.25
2017-02-05,258978.75,146668.5,112310.25
2017-02-06,319098.75,201152.0,117946.75
2017-02-07,332732.0,207399.5,125332.5
2017-02-08,333828.25,207642.0,126186.25
2017-02-09,333863.5,213079.0,120784.5
2017-02-10,334805.25,206822.5,127982.75
2017-02-11,288867.75,165936.75,122931.0
2017-02-12,272534.25,147556.75,124977.5
2017-02-13,324978.25,206121.25,118857.0
2017-02-14,328964.25,206243.0,122721.25
2017-02-15,323550.0,204620.25,118929.75
2017-02-16,321029.0,197541.25,123487.75
2017-02-17,313666.0,198351.75,115314.25
2017-02-18,275993.25,158929.75,117063.5
2017-02-19,261500.75,142386.5,119114.25
2017-02-20,309120.75,198830.75,110290.0
2017-02-21,311601.25,202139.0,109462.25
2017-02-22,314351.5,200802.75,113548.75
2017-02-23,315176.25,191399.5,123776.75
2017-02-24,312450.5,192143.25,120307.25
2017-02-25,280137.75,155302.25,124835.5
2017-02-26,255643.0,134284.75,121358.25
2017-02-27,302731.5,178291.5,124440.0
2017-02-28,306094.25,192465.5,113628.75
2017-03-01,317209.75,196402.25,120807.5
2017-03-02,310472.5,189017.75,121454.75
2017-03-03,308673.25,191984.5,116688.75
2017-03-04,261387.75,154127.5,107260.25
