Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2023;02.01.2023;251.021,25;-15.334,75
02.01.2023;03.01.2023;330.611,50;111.237,50
03.01.2023;04.01.2023;330.887,25;197.340,50
04.01.2023;05.01.2023;351.025,50;32.103,75
05.01.2023;06.01.2023;347.653,50;69.596,50
06.01.2023;07.01.2023;323.714,75;172.190,50
07.01.2023;08.01.2023;292.325,25;168.821,00
08.01.2023;09.01.2023;287.117,00;140.495,75
09.01.2023;10.01.2023;329.993,50;186.089,50
10.01.2023;11.01.2023;337.857,25;195.208,00
11.01.2023;12.01.2023;342.227,75;123.113,50
12.01.2023;13.01.2023;352.200,25;34.614,50
13.01.2023;14.01.2023;345.512,25;42.167,75
14.01.2023;15.01.2023;312.189,25;9.490,50
15.01.2023;16.01.2023;303.336,75;-25.226,75
16.01.2023;17.01.2023;335.520,75;112.732,25
17.01.2023;18.01.2023;341.082,75;132.995,75
18.01.2023;19.01.2023;329.412,75;281.544,50
19.01.2023;20.01.2023;342.334,00;170.099,75
20.01.2023;21.01.2023;329.504,25;283.267,50
21.01.2023;22.01.2023;305.233,75;139.623,75
22.01.2023;23.01.2023;293.065,25;174.731,75
23.01.2023;24.01.2023;324.581,50;298.037,00
24.01.2023;25.01.2023;325.003,50;305.114,25
25.01.2023;26.01.2023;325.213,75;299.379,75
26.01.2023;27.01.2023;331.601,25;308.665,25
27.01.2023;28.01.2023;334.242,50;253.392,00
28.01.2023;29.01.2023;294.965,00;242.815,00
29.01.2023;30.01.2023;298.946,50;121.902,25
30.01.2023;31.01.2023;357.915,50;-11.329,25
31.01.2023;01.02.2023;353.444,75;25.057,00
01.02.2023;02.02.2023;357.502,25;-8.071,50
02.02.2023;03.02.2023;347.263,00;119.994,00
03.02.2023;04.02.2023;351.818,25;30.399,25
04.02.2023;05.02.2023;294.055,25;198.911,25
05.02.2023;06.02.2023;281.790,75;236.629,75
06.02.2023;07.02.2023;326.622,25;299.174,00
