Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2023;02.01.2023;124.312,75;93.078,25
02.01.2023;03.01.2023;157.373,50;127.902,00
03.01.2023;04.01.2023;164.112,25;153.354,00
04.01.2023;05.01.2023;159.986,25;131.374,00
05.01.2023;06.01.2023;162.746,25;135.840,75
06.01.2023;07.01.2023;131.293,00;115.643,25
07.01.2023;08.01.2023;154.467,00;137.833,00
08.01.2023;09.01.2023;142.225,50;124.422,50
09.01.2023;10.01.2023;179.380,00;151.434,00
10.01.2023;11.01.2023;181.461,75;159.565,75
11.01.2023;12.01.2023;191.174,25;165.752,25
12.01.2023;13.01.2023;191.087,75;157.095,00
13.01.2023;14.01.2023;188.139,25;152.979,25
14.01.2023;15.01.2023;152.352,75;123.804,75
15.01.2023;16.01.2023;143.383,00;112.202,25
16.01.2023;17.01.2023;190.587,25;158.307,25
17.01.2023;18.01.2023;202.303,75;185.645,25
18.01.2023;19.01.2023;209.940,00;199.022,25
19.01.2023;20.01.2023;207.541,00;192.221,00
20.01.2023;21.01.2023;204.178,75;198.549,50
21.01.2023;22.01.2023;167.257,50;152.828,75
22.01.2023;23.01.2023;153.032,75;146.657,75
23.01.2023;24.01.2023;203.979,50;187.976,25
24.01.2023;25.01.2023;210.219,00;192.624,25
25.01.2023;26.01.2023;207.719,75;200.718,75
26.01.2023;27.01.2023;208.783,25;205.806,75
27.01.2023;28.01.2023;201.528,25;196.734,00
28.01.2023;29.01.2023;167.241,00;160.881,00
29.01.2023;30.01.2023;158.892,75;151.751,25
30.01.2023;31.01.2023;201.669,50;171.750,50
31.01.2023;01.02.2023;203.520,50;179.460,00
01.02.2023;02.02.2023;204.045,00;169.521,75
02.02.2023;03.02.2023;206.150,75;173.254,50
03.02.2023;04.02.2023;199.087,00;163.628,75
04.02.2023;05.02.2023;166.968,25;153.203,75
05.02.2023;06.02.2023;152.095,75;146.642,25
06.02.2023;07.02.2023;203.851,75;190.075,75
07.02.2023;08.02.2023;207.927,50;177.177,75
08.02.2023;09.02.2023;207.214,25;170.040,25
09.02.2023;10.02.2023;209.976,75;191.175,00
10.02.2023;11.02.2023;208.663,75;188.886,25
11.02.2023;12.02.2023;166.070,25;145.255,00
12.02.2023;13.02.2023;150.662,25;131.998,75
13.02.2023;14.02.2023;203.069,50;182.695,00
14.02.2023;15.02.2023;206.108,75;186.557,25
15.02.2023;16.02.2023;204.503,75;182.432,25
16.02.2023;17.02.2023;198.941,25;169.439,75
17.02.2023;18.02.2023;192.999,50;157.310,50
18.02.2023;19.02.2023;157.716,25;119.274,00
19.02.2023;20.02.2023;143.700,50;112.018,25
20.02.2023;21.02.2023;189.461,75;152.161,75
21.02.2023;22.02.2023;194.077,25;171.785,25
22.02.2023;23.02.2023;195.245,25;176.284,75
23.02.2023;24.02.2023;193.403,50;182.611,25
24.02.2023;25.02.2023;192.715,25;178.146,00
25.02.2023;26.02.2023;157.119,00;130.063,25
26.02.2023;27.02.2023;142.146,50;108.972,25
27.02.2023;28.02.2023;194.375,00;150.776,75
28.02.2023;01.03.2023;197.465,00;159.838,75
01.03.2023;02.03.2023;197.117,75;161.154,50
02.03.2023;03.03.2023;195.108,25;166.756,25
03.03.2023;04.03.2023;194.527,25;174.013,50
04.03.2023;05.03.2023;161.613,75;137.997,75
05.03.2023;06.03.2023;145.660,00;133.755,50
06.03.2023;07.03.2023;194.615,00;178.173,75
07.03.2023;08.03.2023;195.012,50;157.361,00
08.03.2023;09.03.2023;191.830,25;161.051,50
09.03.2023;10.03.2023;187.673,75;145.310,75
10.03.2023;11.03.2023;186.770,50;147.082,00
11.03.2023;12.03.2023;158.481,50;133.254,25
12.03.2023;13.03.2023;145.349,50;119.885,25
13.03.2023;14.03.2023;186.130,50;141.187,50
14.03.2023;15.03.2023;-;-
15.03.2023;16.03.2023;194.216,50;167.594,25
16.03.2023;17.03.2023;187.485,00;154.822,25
17.03.2023;18.03.2023;184.046,25;153.833,00
18.03.2023;19.03.2023;153.073,00;117.030,50
19.03.2023;20.03.2023;138.961,25;121.112,50
20.03.2023;21.03.2023;183.684,25;163.118,50
21.03.2023;22.03.2023;188.181,00;166.080,25
22.03.2023;23.03.2023;186.449,75;144.994,75
23.03.2023;24.03.2023;176.574,75;148.073,50
24.03.2023;25.03.2023;175.059,50;137.707,50
25.03.2023;26.03.2023;142.152,25;93.748,00
26.03.2023;27.03.2023;124.659,00;93.903,75
27.03.2023;28.03.2023;183.441,25;147.591,75
28.03.2023;29.03.2023;188.884,25;150.332,50
29.03.2023;30.03.2023;185.522,50;158.900,50
30.03.2023;31.03.2023;183.134,25;140.329,25
31.03.2023;01.04.2023;181.483,75;134.893,50
01.04.2023;02.04.2023;146.608,25;107.126,00
02.04.2023;03.04.2023;132.935,25;109.193,00
03.04.2023;04.04.2023;178.042,25;136.760,50
04.04.2023;05.04.2023;189.737,25;141.676,25
05.04.2023;06.04.2023;190.422,50;155.405,25
06.04.2023;07.04.2023;186.184,25;151.289,25
07.04.2023;08.04.2023;136.070,25;117.210,50
08.04.2023;09.04.2023;143.842,75;124.512,50
09.04.2023;10.04.2023;131.648,00;97.655,25
10.04.2023;11.04.2023;129.394,25;83.411,50
11.04.2023;12.04.2023;174.101,00;134.125,75
12.04.2023;13.04.2023;177.256,50;149.502,00
13.04.2023;14.04.2023;176.440,25;147.645,50
14.04.2023;15.04.2023;174.268,25;137.911,50
15.04.2023;16.04.2023;136.510,75;109.420,25
16.04.2023;17.04.2023;123.206,75;109.396,25
17.04.2023;18.04.2023;177.946,50;151.588,00
18.04.2023;19.04.2023;181.748,50;143.922,00
19.04.2023;20.04.2023;183.885,75;155.944,00
20.04.2023;21.04.2023;180.364,50;156.960,25
21.04.2023;22.04.2023;176.675,00;139.741,25
22.04.2023;23.04.2023;137.777,50;103.393,00
23.04.2023;24.04.2023;124.742,00;87.857,75
24.04.2023;25.04.2023;174.491,00;128.251,00
25.04.2023;26.04.2023;181.487,75;156.529,25
26.04.2023;27.04.2023;186.136,00;157.082,50
27.04.2023;28.04.2023;182.283,75;148.528,75
28.04.2023;29.04.2023;171.950,50;152.273,75
29.04.2023;30.04.2023;133.753,25;98.147,75
30.04.2023;01.05.2023;120.993,00;78.680,25
01.05.2023;02.05.2023;123.959,25;101.323,00
02.05.2023;03.05.2023;183.539,50;151.020,25
03.05.2023;04.05.2023;-;-
04.05.2023;05.05.2023;171.442,00;119.570,75
05.05.2023;06.05.2023;168.306,50;135.532,75
06.05.2023;07.05.2023;132.418,50;95.994,75
07.05.2023;08.05.2023;118.068,50;83.248,75
08.05.2023;09.05.2023;174.077,50;149.207,25
09.05.2023;10.05.2023;172.850,00;145.085,75
10.05.2023;11.05.2023;169.371,50;144.437,25
11.05.2023;12.05.2023;166.418,25;151.667,25
12.05.2023;13.05.2023;167.137,25;143.553,00
13.05.2023;14.05.2023;130.061,50;105.910,25
14.05.2023;15.05.2023;118.285,25;90.105,50
15.05.2023;16.05.2023;170.025,50;139.100,75
16.05.2023;17.05.2023;172.670,00;145.854,00
17.05.2023;18.05.2023;170.908,00;134.021,00
18.05.2023;19.05.2023;126.031,75;78.685,50
19.05.2023;20.05.2023;156.301,25;116.287,50
20.05.2023;21.05.2023;132.787,75;87.547,25
21.05.2023;22.05.2023;117.949,50;70.467,25
22.05.2023;23.05.2023;163.416,00;121.250,50
23.05.2023;24.05.2023;172.732,25;140.271,00
24.05.2023;25.05.2023;167.378,25;131.149,25
25.05.2023;26.05.2023;170.939,25;126.463,75
26.05.2023;27.05.2023;171.037,00;126.135,75
27.05.2023;28.05.2023;130.843,50;79.235,75
28.05.2023;29.05.2023;120.005,00;67.587,75
29.05.2023;30.05.2023;121.127,25;65.542,75
30.05.2023;31.05.2023;165.937,25;114.295,25
31.05.2023;01.06.2023;166.709,75;106.014,00
01.06.2023;02.06.2023;163.979,75;112.032,25
02.06.2023;03.06.2023;160.420,75;108.749,75
03.06.2023;04.06.2023;128.714,50;77.111,00
04.06.2023;05.06.2023;113.340,75;62.356,00
05.06.2023;06.06.2023;163.507,25;112.025,50
06.06.2023;07.06.2023;165.764,00;119.444,75
07.06.2023;08.06.2023;167.266,25;123.168,50
08.06.2023;09.06.2023;125.209,00;83.082,25
09.06.2023;10.06.2023;152.820,75;102.388,75
10.06.2023;11.06.2023;132.125,25;79.666,25
11.06.2023;12.06.2023;119.459,75;64.425,75
12.06.2023;13.06.2023;165.651,50;105.957,50
13.06.2023;14.06.2023;171.004,00;107.059,00
14.06.2023;15.06.2023;169.610,50;121.100,25
15.06.2023;16.06.2023;175.820,00;133.432,75
16.06.2023;17.06.2023;171.219,00;128.537,75
17.06.2023;18.06.2023;132.630,50;88.379,25
18.06.2023;19.06.2023;124.501,25;81.899,75
19.06.2023;20.06.2023;172.408,75;131.374,50
20.06.2023;21.06.2023;178.973,75;137.194,75
21.06.2023;22.06.2023;179.544,50;146.441,00
22.06.2023;23.06.2023;180.886,25;140.216,25
23.06.2023;24.06.2023;174.066,50;124.285,50
24.06.2023;25.06.2023;134.927,50;87.900,75
25.06.2023;26.06.2023;123.316,50;72.509,00
26.06.2023;27.06.2023;174.124,00;125.859,25
27.06.2023;28.06.2023;178.680,75;138.557,75
28.06.2023;29.06.2023;170.676,00;138.488,50
29.06.2023;30.06.2023;176.588,50;137.926,75
30.06.2023;01.07.2023;171.550,50;148.617,25
01.07.2023;02.07.2023;132.428,00;94.202,00
02.07.2023;03.07.2023;123.048,75;69.676,25
03.07.2023;04.07.2023;171.757,75;127.825,50
04.07.2023;05.07.2023;178.602,50;139.084,25
05.07.2023;06.07.2023;175.186,50;119.735,75
06.07.2023;07.07.2023;176.819,50;131.881,75
07.07.2023;08.07.2023;174.676,50;122.672,00
08.07.2023;09.07.2023;139.460,00;93.372,25
09.07.2023;10.07.2023;128.339,50;84.608,50
10.07.2023;11.07.2023;179.876,50;133.420,25
11.07.2023;12.07.2023;188.337,50;142.074,50
12.07.2023;13.07.2023;185.606,75;143.021,25
13.07.2023;14.07.2023;179.788,75;138.613,25
14.07.2023;15.07.2023;173.227,00;129.883,00
15.07.2023;16.07.2023;143.555,25;93.046,25
16.07.2023;17.07.2023;125.584,00;80.258,75
17.07.2023;18.07.2023;178.292,75;134.053,00
18.07.2023;19.07.2023;181.930,75;148.009,25
19.07.2023;20.07.2023;181.817,75;135.955,00
20.07.2023;21.07.2023;176.037,25;135.563,75
21.07.2023;22.07.2023;166.794,75;134.857,00
22.07.2023;23.07.2023;138.416,00;99.087,50
23.07.2023;24.07.2023;129.194,50;86.078,75
24.07.2023;25.07.2023;174.624,75;142.357,50
25.07.2023;26.07.2023;178.304,25;144.431,00
26.07.2023;27.07.2023;177.204,50;142.119,50
27.07.2023;28.07.2023;169.683,00;143.149,75
28.07.2023;29.07.2023;166.327,75;131.692,50
29.07.2023;30.07.2023;134.077,75;97.025,75
30.07.2023;31.07.2023;123.045,00;81.166,25
31.07.2023;01.08.2023;167.021,25;123.596,75
01.08.2023;02.08.2023;167.952,25;126.532,00
02.08.2023;03.08.2023;162.231,25;124.726,25
03.08.2023;04.08.2023;164.414,25;104.678,50
04.08.2023;05.08.2023;161.098,25;135.256,00
05.08.2023;06.08.2023;129.031,00;96.034,00
06.08.2023;07.08.2023;117.959,50;84.386,25
07.08.2023;08.08.2023;155.100,50;106.329,25
08.08.2023;09.08.2023;163.477,50;118.049,25
09.08.2023;10.08.2023;165.184,75;133.629,00
10.08.2023;11.08.2023;160.118,00;114.344,00
11.08.2023;12.08.2023;155.839,50;110.820,50
12.08.2023;13.08.2023;128.583,00;90.930,25
13.08.2023;14.08.2023;120.307,75;91.221,50
14.08.2023;15.08.2023;162.035,50;124.879,25
15.08.2023;16.08.2023;165.095,00;128.581,50
16.08.2023;17.08.2023;164.703,50;128.229,75
17.08.2023;18.08.2023;160.031,25;127.729,75
18.08.2023;19.08.2023;157.599,25;117.319,00
19.08.2023;20.08.2023;134.960,00;95.796,25
20.08.2023;21.08.2023;124.133,50;87.964,25
21.08.2023;22.08.2023;162.949,50;126.803,75
22.08.2023;23.08.2023;167.385,25;128.349,75
23.08.2023;24.08.2023;167.786,75;130.355,25
24.08.2023;25.08.2023;170.540,00;134.654,25
25.08.2023;26.08.2023;159.533,00;124.058,75
26.08.2023;27.08.2023;132.905,00;112.543,00
27.08.2023;28.08.2023;122.175,25;112.941,25
28.08.2023;29.08.2023;165.057,00;152.326,50
29.08.2023;30.08.2023;169.868,25;155.969,00
30.08.2023;31.08.2023;168.046,25;138.409,50
31.08.2023;01.09.2023;-;-
01.09.2023;02.09.2023;162.886,00;130.444,75
02.09.2023;03.09.2023;133.548,50;98.942,50
03.09.2023;04.09.2023;120.843,75;90.728,75
04.09.2023;05.09.2023;167.707,25;115.857,00
05.09.2023;06.09.2023;177.026,75;123.549,50
06.09.2023;07.09.2023;173.028,00;124.068,00
07.09.2023;08.09.2023;169.834,25;121.447,25
08.09.2023;09.09.2023;167.410,50;125.451,50
09.09.2023;10.09.2023;136.282,00;99.746,25
10.09.2023;11.09.2023;126.029,00;90.974,00
11.09.2023;12.09.2023;171.450,75;136.580,25
12.09.2023;13.09.2023;176.963,25;145.722,00
13.09.2023;14.09.2023;177.232,50;158.585,00
14.09.2023;15.09.2023;177.012,25;150.453,75
15.09.2023;16.09.2023;170.828,00;132.456,00
16.09.2023;17.09.2023;137.951,25;105.659,75
17.09.2023;18.09.2023;125.357,00;92.833,25
18.09.2023;19.09.2023;171.100,25;147.791,00
19.09.2023;20.09.2023;177.183,50;138.609,50
20.09.2023;21.09.2023;181.067,00;142.512,50
21.09.2023;22.09.2023;178.217,75;152.228,00
22.09.2023;23.09.2023;169.096,00;139.795,00
23.09.2023;24.09.2023;137.317,00;107.086,75
24.09.2023;25.09.2023;125.790,00;90.399,00
25.09.2023;26.09.2023;173.794,75;129.959,50
26.09.2023;27.09.2023;178.845,25;145.341,50
27.09.2023;28.09.2023;179.974,50;145.957,00
28.09.2023;29.09.2023;178.149,50;146.890,00
29.09.2023;30.09.2023;169.792,75;139.938,75
30.09.2023;01.10.2023;134.701,75;110.271,25
01.10.2023;02.10.2023;122.921,25;92.225,50
02.10.2023;03.10.2023;158.547,25;125.040,25
03.10.2023;04.10.2023;121.738,50;77.542,50
04.10.2023;05.10.2023;170.892,75;140.746,50
05.10.2023;06.10.2023;179.096,00;157.062,25
06.10.2023;07.10.2023;167.094,75;139.627,75
07.10.2023;08.10.2023;133.172,25;97.112,50
08.10.2023;09.10.2023;130.615,00;99.635,25
09.10.2023;10.10.2023;177.396,50;147.391,50
10.10.2023;11.10.2023;176.226,00;150.136,75
11.10.2023;12.10.2023;171.834,00;138.401,00
