Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017;02.01.2017;134.763,50;125.042,00;11.980,25
02.01.2017;03.01.2017;177.571,50;173.261,75;10.644,25
03.01.2017;04.01.2017;184.175,50;177.457,00;9.414,50
04.01.2017;05.01.2017;191.351,25;178.518,00;8.651,50
05.01.2017;06.01.2017;186.611,25;179.227,75;9.816,00
06.01.2017;07.01.2017;159.993,50;154.797,25;8.552,00
07.01.2017;08.01.2017;165.913,75;160.934,25;10.060,50
08.01.2017;09.01.2017;155.904,25;153.944,25;9.825,75
09.01.2017;10.01.2017;205.811,75;204.644,75;13.272,50
10.01.2017;11.01.2017;212.699,00;209.749,50;10.871,50
11.01.2017;12.01.2017;212.094,00;201.781,75;12.495,25
12.01.2017;13.01.2017;210.770,25;196.736,75;11.484,50
13.01.2017;14.01.2017;207.121,25;188.947,75;14.359,25
14.01.2017;15.01.2017;169.744,50;154.450,00;14.391,50
15.01.2017;16.01.2017;156.874,25;149.310,25;12.407,50
16.01.2017;17.01.2017;214.552,25;210.330,00;9.432,25
17.01.2017;18.01.2017;221.218,00;209.837,00;13.044,75
18.01.2017;19.01.2017;220.975,75;203.465,75;13.157,75
19.01.2017;20.01.2017;220.305,50;203.675,25;15.575,50
20.01.2017;21.01.2017;217.845,50;201.954,25;15.233,25
21.01.2017;22.01.2017;182.940,00;171.831,75;9.794,00
22.01.2017;23.01.2017;167.501,75;159.620,75;8.011,25
23.01.2017;24.01.2017;224.618,25;218.026,25;9.248,00
24.01.2017;25.01.2017;229.332,75;227.097,50;14.246,75
25.01.2017;26.01.2017;229.010,75;223.529,25;13.753,75
26.01.2017;27.01.2017;220.557,75;209.250,00;16.137,25
27.01.2017;28.01.2017;213.321,25;197.696,00;13.159,75
28.01.2017;29.01.2017;174.722,75;163.340,50;13.055,00
29.01.2017;30.01.2017;156.096,50;144.925,50;13.986,25
30.01.2017;31.01.2017;211.128,75;197.308,50;9.850,25
31.01.2017;01.02.2017;210.911,50;205.245,50;11.346,75
01.02.2017;02.02.2017;207.392,75;202.279,00;15.067,25
02.02.2017;03.02.2017;202.916,50;191.334,75;11.722,00
03.02.2017;04.02.2017;200.545,25;189.946,25;11.982,75
04.02.2017;05.02.2017;164.364,75;148.402,50;14.498,25
05.02.2017;06.02.2017;146.668,50;136.211,50;16.310,50
06.02.2017;07.02.2017;201.152,00;193.950,00;11.333,25
07.02.2017;08.02.2017;207.399,50;200.080,50;11.626,25
08.02.2017;09.02.2017;207.642,00;198.779,00;13.759,75
09.02.2017;10.02.2017;213.079,00;202.131,75;9.936,25
10.02.2017;11.02.2017;206.822,50;201.030,25;11.962,25
11.02.2017;12.02.2017;165.936,75;150.802,25;13.943,25
12.02.2017;13.02.2017;147.556,75;133.202,25;17.930,25
13.02.2017;14.02.2017;206.121,25;186.769,25;13.817,25
14.02.2017;15.02.2017;206.243,00;186.868,00;12.030,50
15.02.2017;16.02.2017;204.620,25;188.363,00;13.330,50
16.02.2017;17.02.2017;197.541,25;181.226,00;14.343,00
17.02.2017;18.02.2017;198.351,75;187.492,50;11.667,00
18.02.2017;19.02.2017;158.929,75;150.253,75;11.939,25
19.02.2017;20.02.2017;142.386,50;126.955,75;16.906,25
20.02.2017;21.02.2017;198.830,75;180.151,00;11.487,50
21.02.2017;22.02.2017;202.139,00;183.713,25;12.175,25
22.02.2017;23.02.2017;200.802,75;174.799,25;13.488,75
23.02.2017;24.02.2017;191.399,50;156.452,75;16.255,00
24.02.2017;25.02.2017;192.143,25;172.795,25;14.418,75
25.02.2017;26.02.2017;155.302,25;136.241,50;11.517,50
26.02.2017;27.02.2017;134.284,75;115.772,75;18.776,25
27.02.2017;28.02.2017;178.291,50;152.083,50;15.683,75
28.02.2017;01.03.2017;192.465,50;171.623,25;12.130,00
01.03.2017;02.03.2017;196.402,25;170.857,00;15.367,50
02.03.2017;03.03.2017;189.017,75;152.098,50;15.814,00
03.03.2017;04.03.2017;191.984,50;172.313,25;9.022,75
04.03.2017;05.03.2017;154.127,50;132.500,25;9.519,50
05.03.2017;06.03.2017;136.420,00;111.342,50;16.521,50
06.03.2017;07.03.2017;195.351,25;176.146,75;10.578,00
07.03.2017;08.03.2017;200.322,50;185.358,50;12.350,25
08.03.2017;09.03.2017;198.442,50;180.604,00;14.858,00
09.03.2017;10.03.2017;195.165,00;178.929,00;11.536,75
10.03.2017;11.03.2017;183.835,75;159.313,50;14.824,00
11.03.2017;12.03.2017;147.573,50;123.281,00;13.310,25
12.03.2017;13.03.2017;128.551,00;96.579,25;17.456,50
13.03.2017;14.03.2017;185.165,50;161.107,50;9.454,00
14.03.2017;15.03.2017;187.222,00;165.994,75;15.044,75
15.03.2017;16.03.2017;188.373,50;171.380,75;13.417,25
16.03.2017;17.03.2017;186.960,00;163.161,25;12.092,50
17.03.2017;18.03.2017;180.738,25;150.434,50;14.320,25
18.03.2017;19.03.2017;147.728,50;121.740,50;20.140,25
19.03.2017;20.03.2017;127.012,75;102.659,00;19.644,75
20.03.2017;21.03.2017;182.365,50;159.567,25;13.016,75
21.03.2017;22.03.2017;192.478,50;177.254,75;9.034,25
22.03.2017;23.03.2017;196.096,25;188.362,25;11.107,25
23.03.2017;24.03.2017;188.741,75;164.733,75;10.185,00
24.03.2017;25.03.2017;189.491,00;172.246,25;9.370,75
25.03.2017;26.03.2017;145.171,25;106.174,00;14.917,25
26.03.2017;27.03.2017;119.296,00;88.512,25;17.902,50
27.03.2017;28.03.2017;179.969,00;145.229,25;12.996,00
28.03.2017;29.03.2017;184.873,00;158.209,75;13.175,50
29.03.2017;30.03.2017;184.465,00;155.320,25;11.973,50
30.03.2017;31.03.2017;179.501,25;153.280,00;15.139,25
31.03.2017;01.04.2017;177.306,50;150.506,50;12.272,75
01.04.2017;02.04.2017;139.261,00;116.640,00;13.097,50
02.04.2017;03.04.2017;122.062,50;102.865,75;16.925,50
03.04.2017;04.04.2017;179.990,25;158.044,75;11.491,75
04.04.2017;05.04.2017;184.915,25;165.561,25;13.518,50
05.04.2017;06.04.2017;184.844,25;163.240,75;12.904,75
06.04.2017;07.04.2017;185.414,50;166.109,25;14.191,25
07.04.2017;08.04.2017;178.311,50;150.734,00;14.842,75
08.04.2017;09.04.2017;137.390,25;111.828,50;10.094,50
09.04.2017;10.04.2017;117.054,00;89.299,75;16.398,25
10.04.2017;11.04.2017;170.753,25;137.299,50;18.245,00
11.04.2017;12.04.2017;179.725,75;155.807,25;10.163,00
12.04.2017;13.04.2017;177.486,00;146.054,50;14.700,50
13.04.2017;14.04.2017;174.210,25;149.711,50;11.534,50
14.04.2017;15.04.2017;124.746,25;107.668,25;13.310,00
15.04.2017;16.04.2017;124.420,50;102.913,50;17.309,50
16.04.2017;17.04.2017;111.896,25;95.331,75;16.521,50
17.04.2017;18.04.2017;113.346,50;96.648,50;18.742,75
18.04.2017;19.04.2017;178.414,00;157.420,25;9.117,25
19.04.2017;20.04.2017;190.616,25;170.691,50;8.676,00
20.04.2017;21.04.2017;186.743,50;159.466,00;9.523,50
21.04.2017;22.04.2017;183.910,50;153.209,00;11.319,00
22.04.2017;23.04.2017;148.859,00;132.525,75;11.765,50
