Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2023;02.01.2023;997.336,50;227.343,00
02.01.2023;03.01.2023;1.345.122,00;690.861,50
03.01.2023;04.01.2023;1.390.380,75;938.245,25
04.01.2023;05.01.2023;1.418.034,25;367.595,75
05.01.2023;06.01.2023;1.447.094,50;717.960,00
06.01.2023;07.01.2023;1.389.697,25;793.959,75
07.01.2023;08.01.2023;1.263.521,75;702.146,00
08.01.2023;09.01.2023;1.184.888,00;611.724,75
09.01.2023;10.01.2023;1.419.190,00;877.904,00
10.01.2023;11.01.2023;1.459.665,25;858.801,75
11.01.2023;12.01.2023;1.516.074,50;704.080,75
12.01.2023;13.01.2023;1.548.334,75;526.385,25
13.01.2023;14.01.2023;1.533.839,25;480.923,50
14.01.2023;15.01.2023;1.322.686,50;346.771,00
15.01.2023;16.01.2023;1.271.876,75;231.080,25
16.01.2023;17.01.2023;1.511.712,75;845.521,50
17.01.2023;18.01.2023;1.547.840,00;902.619,00
18.01.2023;19.01.2023;1.563.611,50;1.214.578,75
19.01.2023;20.01.2023;1.562.517,50;1.001.522,25
20.01.2023;21.01.2023;1.507.439,50;1.333.440,00
21.01.2023;22.01.2023;1.346.578,75;993.023,00
22.01.2023;23.01.2023;1.284.262,75;962.449,75
23.01.2023;24.01.2023;1.489.060,75;1.333.407,50
24.01.2023;25.01.2023;1.505.238,75;1.360.895,50
25.01.2023;26.01.2023;1.500.343,75;1.346.206,75
26.01.2023;27.01.2023;1.510.299,25;1.316.516,25
27.01.2023;28.01.2023;1.496.120,50;1.232.338,75
28.01.2023;29.01.2023;1.302.504,75;1.129.651,00
29.01.2023;30.01.2023;1.256.346,25;686.639,00
30.01.2023;31.01.2023;1.507.501,75;402.734,75
31.01.2023;01.02.2023;1.510.643,75;561.251,75
01.02.2023;02.02.2023;1.544.716,50;450.509,75
02.02.2023;03.02.2023;1.533.062,75;865.891,50
03.02.2023;04.02.2023;1.526.525,25;507.854,25
04.02.2023;05.02.2023;1.255.210,25;1.007.877,75
05.02.2023;06.02.2023;1.198.787,50;836.385,75
06.02.2023;07.02.2023;1.486.012,50;1.326.020,75
07.02.2023;08.02.2023;1.485.428,75;1.242.011,75
08.02.2023;09.02.2023;1.470.696,00;1.067.299,00
09.02.2023;10.02.2023;1.483.620,75;908.256,00
10.02.2023;11.02.2023;1.466.825,00;876.101,50
11.02.2023;12.02.2023;1.265.755,50;584.274,75
12.02.2023;13.02.2023;1.173.013,00;998.834,00
