Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017;02.01.2017;1.135.124,50;793.667,00;27.446,25
02.01.2017;03.01.2017;1.435.520,50;1.136.613,25;23.749,75
03.01.2017;04.01.2017;1.536.784,75;892.353,75;19.494,50
04.01.2017;05.01.2017;1.569.338,50;866.080,25;21.427,25
05.01.2017;06.01.2017;1.543.378,00;1.245.941,75;21.886,25
06.01.2017;07.01.2017;1.494.316,75;1.352.652,75;17.438,50
07.01.2017;08.01.2017;1.407.603,25;1.145.156,00;23.295,50
08.01.2017;09.01.2017;1.285.285,75;1.236.057,75;23.046,50
09.01.2017;10.01.2017;1.590.808,00;1.409.870,75;27.002,50
10.01.2017;11.01.2017;1.638.876,25;1.340.670,75;23.970,75
11.01.2017;12.01.2017;1.648.811,00;1.032.988,50;25.142,00
12.01.2017;13.01.2017;1.621.140,50;1.012.473,50;24.824,00
13.01.2017;14.01.2017;1.613.152,00;1.091.341,75;29.670,75
14.01.2017;15.01.2017;1.396.103,25;892.347,25;27.015,75
15.01.2017;16.01.2017;1.291.623,50;1.033.710,75;27.463,25
16.01.2017;17.01.2017;1.599.776,00;1.513.542,75;17.100,50
17.01.2017;18.01.2017;1.648.519,75;1.550.365,25;29.601,50
18.01.2017;19.01.2017;1.657.286,00;1.484.071,50;26.992,25
19.01.2017;20.01.2017;1.662.051,50;1.492.146,00;30.535,75
20.01.2017;21.01.2017;1.625.953,25;1.473.905,00;29.555,50
21.01.2017;22.01.2017;1.401.151,50;1.276.675,25;22.105,50
22.01.2017;23.01.2017;1.305.092,00;1.205.458,00;20.494,25
23.01.2017;24.01.2017;1.637.208,50;1.566.878,00;22.386,50
24.01.2017;25.01.2017;1.668.254,75;1.627.713,75;30.466,25
25.01.2017;26.01.2017;1.667.021,25;1.581.604,00;29.879,00
26.01.2017;27.01.2017;1.654.513,25;1.367.966,75;32.926,00
27.01.2017;28.01.2017;1.634.617,25;1.307.168,00;25.036,75
28.01.2017;29.01.2017;1.406.187,50;1.137.813,00;21.065,00
29.01.2017;30.01.2017;1.303.333,25;943.931,75;31.049,50
30.01.2017;31.01.2017;1.606.158,00;1.253.041,25;21.194,75
31.01.2017;01.02.2017;1.616.210,00;1.470.733,25;25.267,00
01.02.2017;02.02.2017;1.622.537,00;1.386.830,25;29.306,00
02.02.2017;03.02.2017;1.615.873,50;1.317.154,75;21.534,75
03.02.2017;04.02.2017;1.574.060,00;1.363.077,50;28.291,25
04.02.2017;05.02.2017;1.354.101,50;1.091.000,50;28.306,00
05.02.2017;06.02.2017;1.242.321,50;1.071.945,25;34.922,25
06.02.2017;07.02.2017;1.567.637,00;1.391.475,50;21.576,25
07.02.2017;08.02.2017;1.626.650,50;1.340.256,25;26.854,00
08.02.2017;09.02.2017;1.628.985,00;1.376.412,00;28.442,00
09.02.2017;10.02.2017;1.638.221,00;1.392.978,00;23.876,00
10.02.2017;11.02.2017;1.629.580,50;1.304.985,25;25.158,00
11.02.2017;12.02.2017;1.389.586,75;1.011.387,50;24.024,75
