Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.01.2017;02.01.2017;232.526,00;100.887,75;1.577,50
02.01.2017;03.01.2017;291.297,25;171.876,50;278,25
03.01.2017;04.01.2017;316.419,75;57.675,50;212,75
04.01.2017;05.01.2017;319.362,75;40.057,25;952,50
05.01.2017;06.01.2017;320.546,00;187.947,25;203,25
06.01.2017;07.01.2017;327.926,00;291.504,50;316,00
07.01.2017;08.01.2017;297.567,00;209.500,25;607,50
08.01.2017;09.01.2017;278.348,00;263.688,00;851,75
09.01.2017;10.01.2017;327.081,25;295.356,50;484,50
10.01.2017;11.01.2017;334.383,25;204.346,75;992,00
11.01.2017;12.01.2017;331.043,75;118.907,00;845,25
12.01.2017;13.01.2017;323.013,25;98.953,50;920,75
13.01.2017;14.01.2017;318.587,75;141.893,50;395,50
14.01.2017;15.01.2017;283.999,00;138.685,00;997,00
15.01.2017;16.01.2017;267.787,25;156.041,75;138,25
16.01.2017;17.01.2017;317.190,25;282.317,00;97,25
17.01.2017;18.01.2017;323.661,00;310.745,50;1.050,25
18.01.2017;19.01.2017;332.482,25;312.019,00;1.530,50
19.01.2017;20.01.2017;338.015,75;308.358,25;970,00
20.01.2017;21.01.2017;333.137,50;299.670,25;871,00
21.01.2017;22.01.2017;291.928,50;269.278,25;475,75
22.01.2017;23.01.2017;278.763,25;250.179,75;1.171,25
23.01.2017;24.01.2017;333.590,00;320.220,25;641,25
24.01.2017;25.01.2017;337.230,50;327.581,00;1.072,25
25.01.2017;26.01.2017;333.056,50;325.199,25;1.299,25
26.01.2017;27.01.2017;331.891,25;270.357,50;556,25
27.01.2017;28.01.2017;331.442,75;252.354,00;547,75
28.01.2017;29.01.2017;287.209,50;212.869,25;206,25
29.01.2017;30.01.2017;268.672,75;166.860,75;1.434,75
30.01.2017;31.01.2017;315.596,25;212.622,00;237,00
31.01.2017;01.02.2017;328.905,25;299.736,25;445,25
01.02.2017;02.02.2017;332.532,50;306.625,25;468,00
02.02.2017;03.02.2017;332.844,75;273.128,25;136,75
03.02.2017;04.02.2017;323.455,50;268.790,00;225,00
04.02.2017;05.02.2017;275.230,00;207.609,25;126,50
05.02.2017;06.02.2017;258.978,75;230.395,75;854,50
06.02.2017;07.02.2017;319.098,75;290.448,75;685,00
07.02.2017;08.02.2017;332.732,00;298.958,75;850,25
08.02.2017;09.02.2017;333.828,25;297.912,00;233,75
09.02.2017;10.02.2017;333.863,50;284.449,75;554,00
10.02.2017;11.02.2017;334.805,25;234.713,00;454,50
11.02.2017;12.02.2017;288.867,75;195.041,50;122,00
12.02.2017;13.02.2017;272.534,25;207.099,00;1.770,75
13.02.2017;14.02.2017;324.978,25;258.849,50;293,00
14.02.2017;15.02.2017;328.964,25;275.398,00;293,75
15.02.2017;16.02.2017;323.550,00;267.730,75;268,75
